"Player","Role","Team","Opponent_Team","Opponent_Player","Date","Round","Day","Patch","Stage","No_Game","all_Games","Format","Game_of_day","Side","Time","Ban","Ban_Opponent","Pick","Pick_Opponent","Champion","Champion_Opponent","Outcome","Kills_Team","Turrets_Team","Dragon_Team","Baron_Team","Level","Kills","Deaths","Assists","KDA","CS","CS in Team's Jungle","CS in Enemy Jungle","CSM","Golds","GPM","GOLD%","Vision Score","Wards placed","Wards destroyed","Control Wards Purchased","Detector Wards Placed","VSPM","WPM","VWPM","WCPM","VS%","Total damage to Champion","Physical Damage","Magic Damage","True Damage","DPM","DMG%","K+A Per Minute","KP%","Solo kills","Double kills","Triple kills","Quadra kills","Penta kills","GD@15","CSD@15","XPD@15","LVLD@15","Objectives Stolen","Damage dealt to turrets","Damage dealt to buildings","Total heal","Total Heals On Teammates","Damage self mitigated","Total Damage Shielded On Teammates","Time ccing others","Total Time CC Dealt","Total damage taken","Total Time Spent Dead","Consumables purchased","Items Purchased","Shutdown bounty collected","Shutdown bounty lost"
"Wunder","TOP","TH","SK","Irrelevant","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Blue","0:31:30","Lucian","Rumble","Zeri","Gnar","Camille","Gnar","Loss","7","4","3","0","16","2","4","2","1","257","4","0","8.2","13155","418","25","31","15","3","5","4","0.98","0.48","0.16","0.1","11","11219","7166","991","3062","356","22.3","0.13","57.1","0","0","0","0","0","762","-4","-13","0","0","11151","11151","7857","0","28524","0","11","183","29691","120","6","28","150","0"
"Jankos","JUNGLE","TH","SK","Isma","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Blue","0:31:30","Tristana","Sejuani","Camille","Vi","Xin_Zhao","Vi","Loss","7","4","3","0","14","2","3","2","1.3","193","166","0","6.1","10006","318","19","50","11","13","10","9","1.59","0.35","0.32","0.41","17.8","7393","6109","884","400","235","14.7","0.13","57.1","0","0","0","0","0","-584","14","504","0","0","0","0","26376","0","24393","0","12","458","39728","114","11","27","150","100"
"Zwyroo","MID","TH","SK","Nisqy","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Blue","0:31:30","Ezreal","Corki","Taliyah","Kaisa","Taliyah","Ziggs","Loss","7","4","3","0","16","1","3","4","1.7","247","0","0","7.8","10320","328","19.6","42","19","7","7","7","1.33","0.6","0.22","0.22","14.9","13900","653","13247","0","441","27.6","0.16","71.4","0","0","0","0","0","-305","-5","-197","0","0","962","962","1693","0","13123","0","25","582","16159","86","9","22","0","50"
"Flakked","ADCARRY","TH","SK","Rahel","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Blue","0:31:30","Orianna","Poppy","Xin_Zhao","Rell","Zeri","Kaisa","Loss","7","4","3","0","15","2","2","3","2.5","326","19","0","10.3","12720","404","24.1","66","16","22","6","5","2.1","0.51","0.19","0.7","23.5","14127","7940","5677","510","448","28.1","0.16","71.4","0","0","0","0","0","-83","12","714","1","0","0","0","4393","0","6532","0","5","135","14762","93","7","23","0","300"
"Trymbi","SUPPORT","TH","SK","Luon","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Blue","0:31:30","LeBlanc","Rakan","Braum","Ziggs","Braum","Rell","Loss","7","4","3","0","12","0","2","7","3.5","23","0","0","0.7","6508","207","12.3","92","39","9","5","5","2.92","1.24","0.16","0.29","32.7","3723","284","3355","84","118","7.4","0.22","100","0","0","0","0","0","285","1","-39","0","0","0","0","3441","909","20351","1769","19","100","14844","77","7","21","0","0"
"Irrelevant","TOP","SK","TH","Wunder","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Red","0:31:30","Rumble","Lucian","Gnar","Zeri","Gnar","Camille","Win","14","9","2","2","18","0","1","3","3","289","16","0","9.2","12738","404","20.1","39","13","8","5","5","1.24","0.41","0.16","0.25","15","15375","13115","1768","492","488","19.3","0.1","21.4","0","0","0","0","0","-762","4","13","0","0","6246","6246","8627","0","21125","0","22","470","21789","38","7","25","0","50"
"Isma","JUNGLE","SK","TH","Jankos","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Red","0:31:30","Sejuani","Tristana","Vi","Camille","Vi","Xin_Zhao","Win","14","9","2","2","16","3","2","8","5.5","214","188","0","6.8","12257","389","19.3","38","11","8","9","8","1.21","0.35","0.29","0.25","14.6","8544","7770","132","642","271","10.7","0.35","78.6","0","0","0","0","0","584","-14","-504","0","0","2177","2177","15434","0","33442","0","18","339","28026","75","10","28","100","100"
"Nisqy","MID","SK","TH","Zwyroo","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Red","0:31:30","Corki","Ezreal","Kaisa","Taliyah","Ziggs","Taliyah","Win","14","9","2","2","17","3","3","8","3.7","257","4","0","8.2","13183","419","20.8","37","18","5","9","9","1.17","0.57","0.29","0.16","14.2","32618","593","31494","531","1035","41","0.35","78.6","0","1","0","0","0","305","5","197","0","0","13246","13246","1152","0","6450","0","22","310","12903","105","12","31","0","50"
"Rahel","ADCARRY","SK","TH","Flakked","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Red","0:31:30","Poppy","Orianna","Rell","Xin_Zhao","Kaisa","Zeri","Win","14","9","2","2","17","7","1","3","10","338","23","0","10.7","17055","541","26.8","55","13","17","6","6","1.75","0.41","0.19","0.54","21.2","19963","7653","11678","632","634","25.1","0.32","71.4","0","2","0","0","0","83","-12","-714","-1","0","5255","5255","5336","0","8370","0","5","156","12182","39","8","27","300","100"
"Luon","SUPPORT","SK","TH","Trymbi","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","2","3","2","Red","0:31:30","Rakan","LeBlanc","Ziggs","Braum","Rell","Braum","Win","14","9","2","2","13","1","1","9","10","28","2","0","0.9","8293","263","13.1","91","57","6","17","17","2.89","1.81","0.54","0.19","35","3048","395","2281","372","97","3.8","0.32","71.4","0","0","0","0","0","-285","-1","39","0","0","131","131","1792","154","10913","0","26","61","11526","27","20","34","50","0"
"Adam","TOP","BDS","MDK","Myrwn","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Blue","0:36:00","Vi","Rumble","Taliyah","Tristana","Gnar","Camille","Loss","13","5","1","0","17","3","4","5","2","263","12","0","7.3","14387","400","21.6","39","14","7","7","7","1.08","0.39","0.19","0.19","12.6","18900","14506","3854","540","525","19.1","0.22","61.5","0","0","0","0","0","918","20","-5","0","0","8295","8295","6154","0","35919","0","30","486","29345","84","9","30","350","0"
"Sheo","JUNGLE","BDS","MDK","Elyoya","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Blue","0:36:00","Varus","Ezreal","Nautilus","Zeri","Taliyah","Zyra","Loss","13","5","1","0","17","2","4","6","2","263","196","0","7.3","13866","385","20.8","76","34","19","6","6","2.11","0.94","0.17","0.53","24.5","22312","487","19452","2373","620","22.6","0.22","61.5","0","1","0","0","0","165","10","468","1","0","736","736","7518","0","11446","0","26","787","20630","139","6","23","50","200"
"nuc","MID","BDS","MDK","Fresskowy","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Blue","0:36:00","Twisted_Fate","Rell","Corki","Braum","Corki","Tristana","Loss","13","5","1","0","17","2","4","6","2","318","8","0","8.8","14499","403","21.8","37","10","9","4","2","1.03","0.28","0.11","0.25","11.9","29503","20074","6225","3204","820","29.9","0.22","61.5","0","0","0","0","0","27","-11","99","1","0","5364","5364","6018","0","14736","0","2","58","21712","116","5","29","0","50"
"Ice","ADCARRY","BDS","MDK","Supa","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Blue","0:36:00","Sejuani","Kaisa","Twitch","Zyra","Twitch","Zeri","Loss","13","5","1","0","17","5","3","2","2.3","352","20","0","9.8","15709","436","23.6","47","19","12","8","6","1.31","0.53","0.22","0.33","15.2","22546","18758","28","3760","626","22.8","0.19","53.8","0","0","1","0","0","-422","-12","-487","0","0","3525","3525","8547","0","11696","0","11","529","19566","80","10","31","600","200"
"Labrov","SUPPORT","BDS","MDK","Alvaro","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Blue","0:36:00","Yasuo","Jinx","Gnar","Camille","Nautilus","Braum","Loss","13","5","1","0","13","1","7","9","1.4","37","0","0","1","8109","225","12.2","111","64","12","19","19","3.08","1.78","0.53","0.33","35.8","5465","893","3467","1105","152","5.5","0.28","76.9","0","0","0","0","0","-446","3","-661","-1","0","0","0","1101","0","25437","0","35","155","25553","142","21","34","0","0"
"Myrwn","TOP","MDK","BDS","Adam","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Red","0:36:00","Rumble","Vi","Tristana","Taliyah","Camille","Gnar","Win","22","10","3","2","18","6","2","8","7","276","20","0","7.7","14340","398","19.8","33","9","15","5","5","0.92","0.25","0.14","0.42","10.9","16600","10599","1882","4119","461","17.7","0.39","63.6","1","1","0","0","0","-918","-20","5","0","0","7069","7069","11313","0","36690","0","17","210","35568","64","6","32","50","500"
"Elyoya","JUNGLE","MDK","BDS","Sheo","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Red","0:36:00","Ezreal","Varus","Zeri","Nautilus","Zyra","Taliyah","Win","22","10","3","2","17","2","3","11","4.3","221","196","0","6.1","13166","366","18.2","50","13","13","10","9","1.39","0.36","0.28","0.36","16.4","22108","1004","19130","1974","614","23.6","0.36","59.1","0","0","0","0","0","-165","-10","-468","-1","0","1428","1428","9224","0","12795","0","28","651","22480","137","11","28","100","0"
"Fresskowy","MID","MDK","BDS","nuc","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Red","0:36:00","Rell","Twisted_Fate","Braum","Corki","Tristana","Corki","Win","22","10","3","2","18","5","3","2","2.3","323","12","0","9","15776","438","21.8","51","18","11","10","9","1.42","0.5","0.28","0.31","16.8","17718","15625","1923","170","492","18.9","0.19","31.8","1","0","0","0","0","-27","11","-99","-1","0","5462","5462","9991","0","16922","0","3","70","24994","68","12","33","50","450"
"Supa","ADCARRY","MDK","BDS","Ice","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Red","0:36:00","Kaisa","Sejuani","Zyra","Twitch","Zeri","Twitch","Win","22","10","3","2","18","8","2","7","7.5","386","32","0","10.7","19314","537","26.7","52","11","24","4","4","1.44","0.31","0.11","0.67","17.1","30638","20765","9524","349","851","32.8","0.42","68.2","0","0","0","1","0","422","12","487","0","0","13190","13190","8576","0","12071","0","6","176","16805","52","6","26","250","50"
"Alvaro","SUPPORT","MDK","BDS","Labrov","7/12/2024","1","1","v14.13","Summer_Playoffs_24","1","3","3","3","Red","0:36:00","Jinx","Yasuo","Camille","Gnar","Braum","Nautilus","Win","22","10","3","2","13","1","3","18","6.3","29","0","0","0.8","9805","272","13.5","118","63","10","18","16","3.28","1.75","0.5","0.28","38.8","6468","836","4924","708","180","6.9","0.53","86.4","0","0","0","0","0","446","-3","661","1","0","322","322","2792","329","25780","1673","33","162","29593","70","21","38","0","0"
"Adam","TOP","BDS","MDK","Myrwn","7/12/2024","1","1","v14.13","Summer_Playoffs_24","2","3","3","4","Blue","0:38:00","Vi","Rumble","Rell","Taliyah","Renekton","Poppy","Win","17","8","3","1","17","2","6","4","1","259","0","0","6.8","13677","360","18.5","39","16","8","10","9","1.03","0.42","0.26","0.21","11.8","14232","10992","2576","664","375","12","0.16","35.3","0","0","0","0","0","774","22","53","0","0","4036","4036","8518","0","35827","0","27","98","38507","218","13","34","700","50"
